Date,Date,bitcoin_cash_MAvg_Close,bitcoin_MAvg_Close,bitconnect_MAvg_Close,dash_MAvg_Close,ethereum_MAvg_Close,ethereum_classic_MAvg_Close,iota_MAvg_Close,litecoin_MAvg_Close,monero_MAvg_Close,nem_MAvg_Close,neo_MAvg_Close,numeraire_MAvg_Close,omisego_MAvg_Close,qtum_MAvg_Close,ripple_MAvg_Close,stratis_MAvg_Close,waves_MAvg_Close
"Sep 26, 2017",26/09/17,436.2,3833.8,115.1,338.7,287.4,10.8,0.5,50.2,92.1,0.2,24.1,15.3,9.5,8.9,0.2,4.2,4.3
"Sep 27, 2017",27/09/17,448.3,4006.4,120.5,343.5,295.4,11.6,0.5,53.1,95.9,0.2,28.1,15.8,10,9.5,0.2,4.5,4.7
"Sep 28, 2017",28/09/17,449,4089.3,125.1,341.3,297.7,12.2,0.6,54,97.1,0.2,29.3,15.8,10.2,9.7,0.2,4.7,4.9
"Sep 29, 2017",29/09/17,447.3,4179.5,129.2,337.5,299,12.6,0.6,54.3,97.6,0.2,30.1,15.7,10.2,9.9,0.2,4.7,5
"Sep 30, 2017",30/09/17,439.1,4225.5,132.5,331,297.4,12.7,0.6,53.9,95.8,0.2,30.9,14.9,10.1,10.4,0.2,4.6,4.9
"Oct 01, 2017",01/10/17,428.2,4301.8,135.2,323.5,298.4,12.7,0.6,54.1,94.5,0.2,32.9,15.2,9.9,11.2,0.2,4.3,5
"Oct 02, 2017",02/10/17,423,4383.9,138.2,317.2,300.4,12.7,0.6,54.4,93.5,0.2,35.6,15.2,9.7,11.9,0.2,4.2,5
"Oct 03, 2017",03/10/17,413.5,4376.8,138.3,306.9,297.4,12.5,0.6,53.4,92.6,0.2,35.4,15,9.4,12.1,0.2,4,4.8
"Oct 04, 2017",04/10/17,394.6,4318.7,136.9,303.5,294.2,12.3,0.6,52.4,91.6,0.2,33.8,14.2,9,11.9,0.2,3.8,4.8
"Oct 05, 2017",05/10/17,372.8,4291.8,136.9,302.4,293.7,12.1,0.5,51.8,91.7,0.2,32.3,14,8.9,11.9,0.2,3.7,4.9
"Oct 06, 2017",06/10/17,359.1,4309.5,138.6,305.9,299,12.1,0.5,51.7,91.2,0.2,32.3,14.3,8.7,11.7,0.2,3.6,4.9
"Oct 07, 2017",07/10/17,359.8,4375.4,141.7,307.6,305.2,12.2,0.5,52.1,91.6,0.2,34,14.6,8.7,11.8,0.2,3.7,5
"Oct 08, 2017",08/10/17,355.3,4469.4,144.8,306.6,309.4,12.2,0.5,52.6,90.9,0.2,33.9,13.9,8.3,11.6,0.3,3.7,4.8
"Oct 09, 2017",09/10/17,339.1,4603.1,150.4,298.9,305.7,12,0.5,52,89,0.2,32.4,12.8,7.9,11.7,0.3,3.6,4.5
"Oct 10, 2017",10/10/17,326,4721.5,156.1,292.5,302,11.7,0.5,51.3,87.4,0.2,30.2,11.7,7.8,11.8,0.3,3.4,4.2
"Oct 11, 2017",11/10/17,316.9,4793.5,162.2,291.1,300.2,11.5,0.5,50.6,86.6,0.2,29.5,11.8,8.3,12.1,0.3,3.4,4.1
"Oct 12, 2017",12/10/17,316.6,5018.5,172,293.9,302.5,11.7,0.5,53.9,87.1,0.2,29.1,12,8.5,11.8,0.3,3.3,4
"Oct 13, 2017",13/10/17,316.5,5306.9,183.8,300.2,315.5,11.9,0.4,56.8,89.9,0.2,29.2,12.1,8.6,11.6,0.3,3.3,3.9
"Oct 14, 2017",14/10/17,318.9,5642,194.8,306.3,327.5,12.1,0.4,61.2,94.1,0.2,28.4,11.8,8.2,11.1,0.3,3,3.9
"Oct 15, 2017",15/10/17,319.5,5719.1,196.5,312.2,338.3,12.1,0.4,62.9,96.7,0.2,28.3,11.4,8.1,10.8,0.3,3,3.9
"Oct 16, 2017",16/10/17,316.9,5745.2,197.5,309.5,336.5,12,0.4,64.7,97,0.2,28,11.5,7.9,10.9,0.3,2.9,3.9
"Oct 17, 2017",17/10/17,333.4,5669.8,195.5,303.9,329,11.9,0.5,63.2,94,0.2,29.2,12.3,7.9,11.3,0.3,3,3.9
"Oct 18, 2017",18/10/17,341.5,5640.6,196.3,299.8,321.6,11.8,0.5,61.6,92.2,0.2,29.9,13.5,7.9,11.7,0.2,3.1,4
"Oct 19, 2017",19/10/17,347.2,5634.9,196.4,297.5,313.2,11.6,0.5,60,89.8,0.2,29.9,14.2,7.9,11.9,0.2,3.1,4
"Oct 20, 2017",20/10/17,332.5,5770.2,202.9,294,308.8,11.4,0.4,60.3,89.6,0.2,28.7,14.4,7.7,11.6,0.2,3.1,3.9
"Oct 21, 2017",21/10/17,327.2,5917.2,207.9,287.5,304.1,11.2,0.4,59.4,89.1,0.2,27.8,13.8,7.5,11.4,0.2,3,3.7
"Oct 22, 2017",22/10/17,327.5,6017.2,209.6,280.9,299.9,11,0.4,58.4,88.4,0.2,27.9,13,7.4,10.9,0.2,3,3.6
"Oct 23, 2017",23/10/17,323.5,5990.1,204.7,279.3,294.2,10.7,0.4,56.6,86.6,0.2,27.8,12.2,7.5,10.5,0.2,3.2,3.6
"Oct 24, 2017",24/10/17,324.7,5821.8,199.1,284.4,293.6,10.6,0.4,55.9,86.7,0.2,28.8,12.3,7.8,10.4,0.2,3.5,3.7
"Oct 25, 2017",25/10/17,324.9,5735.9,199.5,288.9,294.4,10.5,0.4,55.8,87.2,0.2,28.7,12.5,7.8,10.5,0.2,4.1,3.7
"Oct 26, 2017",26/10/17,332.4,5727.4,205.5,289.5,297.6,10.6,0.4,56.1,88.4,0.2,29,12.6,7.8,10.7,0.2,4.4,3.7
"Oct 27, 2017",27/10/17,346,5812.2,211.8,285.2,297.3,10.5,0.4,55.9,87.8,0.2,28.5,12.3,7.6,10.5,0.2,4.6,3.6
"Oct 28, 2017",28/10/17,376.4,5812.9,213.7,280.8,296.7,10.5,0.4,55.3,87.2,0.2,28.1,12.2,7.4,10.4,0.2,4.4,3.5
"Oct 29, 2017",29/10/17,414.3,5895.9,217.2,280,299.6,10.6,0.4,55.7,87.2,0.2,28,12,7.3,10.3,0.2,4.2,3.5
"Oct 30, 2017",30/10/17,441.2,6012.5,222.4,281.9,303,10.8,0.4,56.1,87.9,0.2,28,12.2,7.2,10.3,0.2,4.1,3.5
"Oct 31, 2017",31/10/17,446.4,6250.9,231.6,283,306.2,10.8,0.4,56.4,88.4,0.2,28.3,12,7.1,10.4,0.2,3.7,3.4
"Nov 01, 2017",01/11/17,473,6455.4,239.5,278.9,301.8,10.6,0.4,55.1,87.4,0.2,28,11.7,6.7,10.3,0.2,3.4,3.2
"Nov 02, 2017",02/11/17,519.4,6771.4,251.2,272,295,10.4,0.4,54.6,85.7,0.2,26.6,10.6,6.4,10.1,0.2,3.1,3.1
"Nov 03, 2017",03/11/17,581.5,7017.9,261.8,271.8,294.9,11.1,0.4,54.7,85.8,0.2,26.1,10.9,6.3,10,0.2,3,3.3
"Nov 04, 2017",04/11/17,611,7222.1,271,272.9,297.9,11.6,0.4,55.3,86.3,0.2,25.9,11.2,6.5,10.1,0.2,3,3.5
"Nov 05, 2017",05/11/17,625.5,7331.7,275.4,275.5,300.8,12.6,0.4,55.3,87.2,0.2,26.6,11.6,6.5,10.2,0.2,3.1,3.6
"Nov 06, 2017",06/11/17,617.9,7270,271.6,274.5,298.5,13.2,0.4,55,92.2,0.2,26.4,11.1,6.4,10.2,0.2,3,3.5
"Nov 07, 2017",07/11/17,616.6,7191.5,269.1,280.7,296.6,13.8,0.4,57.1,96.3,0.2,26.3,10.8,6.4,10.6,0.2,3,3.6
"Nov 08, 2017",08/11/17,613.8,7208.9,272.2,295.1,300.9,14.1,0.4,59.7,105.3,0.2,27.7,10.9,6.8,11.2,0.2,3.2,3.9
"Nov 09, 2017",09/11/17,631,7249.2,276.8,311.9,308.2,14,0.5,62.7,111.3,0.2,29.6,11.3,7.4,11.7,0.2,3.4,4.4
"Nov 10, 2017",10/11/17,761.4,7073.8,270.9,324,309.7,14.3,0.5,62,113.2,0.2,30.2,11.3,7.6,11.7,0.2,3.5,4.6
"Nov 11, 2017",11/11/17,1000.7,6706.4,256.2,333.9,311.6,16.1,0.6,61.9,115.3,0.2,29.5,11.2,7.4,11.6,0.2,3.4,4.4
"Nov 12, 2017",12/11/17,1245.6,6308.6,237.7,403.9,307.3,16.4,0.6,60.2,116.4,0.2,27.9,10.3,7,11.4,0.2,3.1,4
"Nov 13, 2017",13/11/17,1361.1,6289.1,237.2,436.5,313.1,16.9,0.6,60.9,122.3,0.2,28,10.4,7.2,11.4,0.2,3.1,4.1
"Nov 14, 2017",14/11/17,1338.8,6381.8,241.8,463.7,320.8,16.4,0.6,61,123.2,0.2,28.4,10.6,7.3,11.4,0.2,3.2,4.4
"Nov 15, 2017",15/11/17,1280,6836.9,260.1,426.4,329.2,17.2,0.7,62.6,122.4,0.2,29.2,11.5,7.7,11.6,0.2,3.5,4.8
"Nov 16, 2017",16/11/17,1128.9,7274.3,277.2,423.4,334,17.4,0.7,65.9,121.3,0.2,29.3,11.6,7.6,12.1,0.2,3.6,4.9
"Nov 17, 2017",17/11/17,1099.6,7632.1,291.1,422.5,332.2,17.2,0.8,67.5,122.8,0.2,32.8,11.4,7.5,12.7,0.2,3.5,4.9
"Nov 18, 2017",18/11/17,1113.6,7790.3,298.3,432.6,337,17.3,0.8,69.4,125.9,0.2,37.3,11,7.6,13.4,0.2,3.4,4.9
"Nov 19, 2017",19/11/17,1204,7845.2,294.9,440.7,344.8,17.6,0.8,69.6,129,0.2,41,11.1,7.8,13.8,0.2,3.4,5.1
"Nov 20, 2017",20/11/17,1220.9,8009.1,294.7,461.2,356.2,18,0.9,71.2,132,0.2,39.4,11.3,7.9,14.3,0.2,3.5,5.2
"Nov 21, 2017",21/11/17,1195,8102.8,294.4,474.4,360.5,18,0.9,71.3,135.7,0.2,36.6,11.6,7.8,14.3,0.2,3.5,5.2
"Nov 22, 2017",22/11/17,1238.8,8175.2,296.6,519.9,369.3,18.1,0.9,71.4,147.8,0.2,35.3,11.9,7.9,14.4,0.2,3.6,5.2
"Nov 23, 2017",23/11/17,1388,8121.2,294.4,546.6,383.7,18,0.9,71.7,155.4,0.2,35,12.4,7.8,14.1,0.2,3.7,5.2
"Nov 24, 2017",24/11/17,1545.2,8182,295.4,570.7,421.9,19.2,0.8,74.4,161.5,0.2,35.2,12.9,7.8,14.2,0.2,4,5.2
"Nov 25, 2017",25/11/17,1634.5,8361.1,297.2,592.3,450.5,20.5,0.8,80,162.4,0.2,35.9,13.7,8,14.3,0.2,4.3,5.3
"Nov 26, 2017",26/11/17,1651.8,8791.7,300.6,610.6,470.8,21.8,0.8,84.2,163.9,0.2,37.1,14.7,8.3,14.6,0.2,4.5,5.4
"Nov 27, 2017",27/11/17,1643.2,9313.3,301.7,632.5,472.7,23.2,0.9,88.8,168.4,0.2,38.9,15.5,8.9,14.7,0.3,4.9,5.6
"Nov 28, 2017",28/11/17,1634.8,9735.9,295.4,626.8,474.9,27.3,1.1,91.2,180,0.2,38.9,15.6,9.1,15,0.3,5.5,5.8
"Nov 29, 2017",29/11/17,1509.5,9921.9,285.3,645.4,460.3,28.4,1.3,91.1,181.6,0.2,36.8,16.5,8.9,14.2,0.3,5.6,5.6
"Nov 30, 2017",30/11/17,1431.9,10060.3,280.3,696.9,449.2,29.2,1.4,90,183.8,0.2,34.4,20.9,8.5,13.6,0.3,5.6,5.3
"Dec 01, 2017",01/12/17,1404.1,10365.9,292.5,753.9,447.1,28.3,1.3,91,179.7,0.2,33.7,26.2,8.3,12.9,0.2,5.3,5.3
"Dec 02, 2017",02/12/17,1429.1,10761.3,309.1,787.6,459,30.1,1.4,95.9,191.4,0.2,34.6,29.3,8.8,13,0.3,5.6,5.6
"Dec 03, 2017",03/12/17,1485.9,11124.5,318,781.6,465.3,30.8,1.6,100.2,198,0.3,35.8,28.6,9.2,13.1,0.3,5.9,6
"Dec 04, 2017",04/12/17,1523.9,11351.7,320.6,773.8,466.5,30.6,2,101.9,204.4,0.3,38,27.5,9.7,13.3,0.3,6.5,6.3
"Dec 05, 2017",05/12/17,1546.2,11632.4,324.8,766.4,466.4,30.4,2.8,102.6,226.6,0.3,39.2,26.8,10,13.3,0.3,7,6.8
"Dec 06, 2017",06/12/17,1503,12621.8,343.9,743.5,454,29.5,3.7,102.3,252.8,0.3,38.7,25,9.7,12.9,0.2,7.5,7.5
"Dec 07, 2017",07/12/17,1421,14702.6,382.7,718.1,442.1,28.4,4.1,100.3,276.3,0.3,36.3,22.6,8.9,12.5,0.2,8,8.1
"Dec 08, 2017",08/12/17,1408.4,16253.5,408.7,708.2,439.7,28.2,4.5,107.8,278.8,0.4,35.4,21,8.3,12.4,0.2,8.5,8.5
"Dec 09, 2017",09/12/17,1401.7,16549.1,410.1,716.1,454.6,28.7,4.6,126.1,273.4,0.4,35.6,21.9,8.3,12.5,0.2,9,8.5
"Dec 10, 2017",10/12/17,1399.1,15734.3,385.7,713,457.1,28.5,4.6,142.9,261.5,0.5,35.1,22.3,8.3,12,0.2,9.1,9
"Dec 11, 2017",11/12/17,1385.5,15856.8,375.7,725.9,476.8,27.7,4.4,172.7,262.5,0.4,35,23.1,8.5,12.2,0.2,9.7,9.9
"Dec 12, 2017",12/12/17,1453.8,16602.5,380.5,795.4,536.1,28.2,4.4,226.3,277.7,0.5,36.5,23.1,9.1,13.1,0.3,10,11.9
"Dec 13, 2017",13/12/17,1548.7,16920.1,377.9,861.4,623.1,29.2,4.4,277.7,297.8,0.5,40.4,23.3,10,15.2,0.4,10.1,13.2
"Dec 14, 2017",14/12/17,1729.6,16795.9,375.8,920,683.3,30.7,4.2,299.4,313,0.6,45.3,23.2,10.8,17.5,0.6,9.8,14.1
"Dec 15, 2017",15/12/17,1796.4,16893,378.6,909.5,694.3,31.3,3.9,293.9,314.4,0.6,47.8,23,11.3,22.8,0.7,9.7,13.5
"Dec 16, 2017",16/12/17,1861.1,17922.8,409,947.7,692.2,32.9,3.8,292.7,321.6,0.6,49.5,23.3,12.5,26.7,0.8,10.2,13.4
"Dec 17, 2017",17/12/17,1826.7,18781.7,427.1,1002.6,700.2,33.9,3.8,305.8,330.3,0.6,55.3,24.4,13.9,29.7,0.7,10.7,13.3
"Dec 18, 2017",18/12/17,1953.8,19250.8,438.4,1091.5,736.9,36.3,3.9,325.3,353.4,0.7,65,26.3,16.1,36.8,0.8,11.6,14.2
"Dec 19, 2017",19/12/17,2288.5,18677.2,415.1,1153.2,780.5,38.2,4.5,342.4,370,0.8,72,27.5,17.4,49.7,0.8,12,15
"Dec 20, 2017",20/12/17,2975.2,17838.5,393.4,1301.5,813.5,41.2,4.9,341.1,409.3,0.9,74.6,27.9,18.1,61.1,0.8,11.9,15.6
"Dec 21, 2017",21/12/17,3332,16734.7,363.6,1390.8,822.3,42.1,5.2,327.4,421.5,1,72.6,28.2,17.7,64.5,0.9,12,15.7
"Dec 22, 2017",22/12/17,3295.6,15419.8,331,1388.2,771.7,39,4.5,299,411.1,0.9,67.5,26.7,15.9,58.4,1,11.3,14.6
"Dec 23, 2017",23/12/17,3073.6,14778,306.3,1296.4,738.4,35.3,4,290.2,382,0.9,61.9,26.3,14.8,56.3,1.2,12,14.3
"Dec 24, 2017",24/12/17,2952.3,14152.3,273.3,1213.1,696.1,31.5,3.5,276.4,355.1,0.9,58.1,25.5,13.9,53.5,1.1,12.5,13.5
"Dec 25, 2017",25/12/17,3038.3,14217.2,250,1212,726.5,32,3.5,279.2,360,1,61.6,29.3,14.8,56.3,1.1,14.3,14.1
"Dec 26, 2017",26/12/17,2988.9,14684.1,286.5,1194.5,744.6,32,3.6,278.6,359.8,1,63.8,31.3,15.1,55.9,1.1,14.8,14.1
"Dec 27, 2017",27/12/17,2984.4,15321.6,346.5,1196.2,767.5,32.5,3.7,277.4,388.1,1,66.2,33.7,15.3,56.1,1.2,14.7,14
"Dec 28, 2017",28/12/17,2855,15514.9,409.7,1191.1,757.9,31.5,3.7,269.5,394.1,0.9,65.9,33.6,15.1,55.4,1.3,14.3,13.5
"Dec 29, 2017",29/12/17,2745.4,15033.7,431.5,1166.1,751.2,30.6,3.7,255.9,392.7,1,68.7,34,15.4,56.4,1.7,14.4,13.3
"Dec 30, 2017",30/12/17,2579.7,14071.6,419.1,1106.7,736,28.8,3.6,238.1,362.4,1,70.6,32,15.9,58.5,1.9,14.1,12.7
"Dec 31, 2017",31/12/17,2568.5,13921.6,422.3,1070.4,742.5,28.3,3.5,232.2,352.4,1,74.1,31.6,17.5,60.5,2.2,14.1,12.7
"Jan 01, 2018",01/01/18,2452.7,13588.6,396.3,1039,748.9,29.7,3.6,226.7,346.3,1,75.7,33.9,18.6,61.3,2.3,14.2,12.3
